Temperature (K), B_2V
178,-55604632943450013543956480
178,-55548463589423007032934400
178,-55492360362233303297687552
178,-55436323147230383913828352
178,-55380351830027123621363712
178,-55324446296499695835414528
178,-55268606432786172486877184
179,-55212832125286068755890176
179,-55157123260659612927393792
179,-55101479725826895987605504
179,-55045901407967321868206080
179,-54990388194518499344777216
179,-54934939973175881259548672
179,-54879556631891862578266112
179,-54824238058875050245750784
179,-54768984142589524451524608
179,-54713794771754142845108224
179,-54658669835341879111057408
179,-54603609222578972565438464
180,-54548612822944189421453312
180,-54493680526168195724214272
180,-54438812222233110674145280
180,-54384007801371089287774208
180,-54329267154064262268190720
180,-54274590171043842651848704
180,-54219976743289215275499520
180,-54165426762027498689527808
180,-54110940118732703344361472
180,-54056516705125095935311872
180,-54002156413170391948722176
181,-53947859135079274625630208
181,-53893624763306553148178432
181,-53839453190550355185762304
181,-53785344309751731758039040
181,-53731298014093755291795456
181,-53677314197000952685264896
181,-53623392752138532214013952
181,-53569533573411747875782656
181,-53515736554965272325259264
181,-53462001591182440959836160
181,-53408328576684599084580864
181,-53354717406330526386618368
182,-53301167975215629481279488
182,-53247680178671383566352384
182,-53194253912264602277642240
182,-53140889071796836393549824
182,-53087585553303686640304128
182,-53034343253054150856933376
182,-52981162067549979750170624
182,-52928041893524946750013440
182,-52874982627944401333125120
182,-52821984168004384259571712
182,-52769046411131172306288640
183,-52716169254980445043425280
183,-52663352597436863927549952
183,-52610596336613282027667456
183,-52557900370850116959993856
183,-52505264598714869851619328
183,-52452688919001214807441408
183,-52400173230728672492650496
183,-52347717433141751139270656
183,-52295321425709491279626240
183,-52242985108124641112621056
183,-52190708380303287136550912
184,-52138491142384081054990336
184,-52086333294727552582025216
184,-52034234737915679945523200
184,-51982195372751194102431744
184,-51930215100256951673552896
184,-51878293821675221978972160
184,-51826431438467386390347776
184,-51774627852312976258236416
184,-51722882965109389444251648
184,-51671196678970979787997184
184,-51619568896228722099617792
184,-51567999519429439065686016
185,-51516488451335311622930432
185,-51465035594923269072879616
185,-51413640853384301887094784
185,-51362304130123066570178560
185,-51311025328757078205923328
185,-51259804353116238010908672
185,-51208641107242378067968000
185,-51157535495388282073645056
185,-51106487422017625208651776
185,-51055496791804020655128576
185,-51004563509630504200568832
186,-50953687480589225000173568
186,-50902868609980389014896640
186,-50852106803312104392622080
186,-50801401966299788762677248
186,-50750754004865344602112000
186,-50700162825136721149034496
186,-50649628333447484905881600
186,-50599150436336115264782336
186,-50548729040545291542986752
186,-50498364053021901572800512
186,-50448055380915710261723136
186,-50397802931579497031401472
187,-50347606612567990665740288
187,-50297466331637714692079616
187,-50247381996746094027997184
187,-50197353516051283182616576
187,-50147380797911161234259968
187,-50097463750883297470709760
187,-50047602283723963546730496
187,-49997796305387927325638656
187,-49948045725027696965058560
187,-49898350451993082830258176
187,-49848710395830639148400640
188,-49799125466283122842664960
188,-49749595573289072625451008
188,-49700120626981984364658688
188,-49650700537690250954145792
188,-49601335215936191651119104
188,-49552024572435699888816128
188,-49502768518097830959644672
188,-49453566964024174949957632
188,-49404419821508186725154816
188,-49355327002035065670598656
188,-49306288417280819388743680
188,-49257303979111997411164160
189,-49208373599585107083001856
189,-49159497190946089576955904
189,-49110674665629873216684032
189,-49061905936259815131054080
189,-49013190915647228807741440
189,-48964529516790774207873024
189,-48915921652876079808905216
189,-48867367237275218618613760
189,-48818866183546184189083648
189,-48770418405432426760241152
189,-48722023816862363633582080
190,-48673682331948631847862272
190,-48625393864988148308639744
190,-48577158330461061816254464
190,-48528975643030486777856000
190,-48480845717542193969758208
190,-48432768469023742954045440
190,-48384743812684275920142336
190,-48336771663914105367953408
