Temperature (K), B_2V
135,-110733539068118168200282112
135,-110579107864797709533708288
135,-110424962171496966414925824
135,-110271101220886032452419584
135,-110117524248318393742000128
135,-109964230491819401174581248
135,-109811219192074948902387712
135,-109658489592420084085686272
135,-109506040938827547920039936
135,-109353872479896557181730816
135,-109201983466841620132921344
136,-109050373153481455506030592
136,-108899040796227602250465280
136,-108747985654073819553333248
136,-108597206988584696586174464
136,-108446704063884897906851840
136,-108296476146648340141965312
136,-108146522506087179690704896
136,-107996842413941212745564160
136,-107847435144467137874100224
136,-107698299974427698341609472
136,-107549436183081460088963072
137,-107400843052171816616329216
137,-107252519865916835680485376
137,-107104465910998521876578304
137,-106956680476552646155567104
137,-106809162854158231744282624
137,-106661912337827521101824000
137,-106514928223995375940272128
137,-106368209811509209821347840
137,-106221756401619092551761920
137,-106075567297967322002620416
137,-105929641806578528504774656
137,-105783979235849590265610240
138,-105638578896539875203350528
138,-105493440101761293802799104
138,-105348562166968248891867136
138,-105203944409947963375222784
138,-105059586150810945406894080
138,-104915486711981006886273024
138,-104771645418185574011895808
138,-104628061596446410152083456
138,-104484734576069788959768576
138,-104341663688636942365229056
138,-104198848267994869346074624
139,-104056287650246732380372992
139,-103913981173742374158860288
139,-103771928179069349693227008
139,-103630128009043185330290688
139,-103488580008698651378450432
139,-103347283525280055481597952
139,-103206237908232498065702912
139,-103065442509192560849715200
139,-102924896681979424853196800
139,-102784599782585661986439168
139,-102644551169168335878225920
139,-102504750202040188602941440
140,-102365196243660621249249280
140,-102225888658626983726415872
140,-102086826813665624052465664
140,-101948010077623315599458304
140,-101809437821458289201774592
140,-101671109418231900919562240
140,-101533024243099853125582848
140,-101395181673303467131666432
140,-101257581088161419671633920
140,-101120221869061015527751680
140,-100983103399449803754569728
141,-100846225064827296981975040
141,-100709586252736312761122816
141,-100573186352754881846050816
141,-100437024756487915957125120
141,-100301100857558824004878336
141,-100165414051601368832016384
141,-100029963736251592674902016
141,-99894749311139381847785472
141,-99759770177880787341279232
141,-99625025740069658226065408
141,-99490515403269721733201920
142,-99356238575006543075344384
142,-99222194664759742966005760
142,-99088383083954785642086400
142,-98954803245955488440909824
142,-98821454566055912901967872
142,-98688336461472633825787904
142,-98555448351337128591884288
142,-98422789656687788519587840
142,-98290359800462565884035072
142,-98158158207490882197782528
142,-98026184304486532924833792
142,-97894437520039819100553216
143,-97762917284609936649617408
143,-97631623030517795200696320
143,-97500554191938080986890240
143,-97369710204892384898056192
143,-97239090507241334100721664
143,-97108694538677445212504064
143,-96978521740717822857707520
143,-96848571556696737963835392
143,-96718843431758515295748096
143,-96589336812850232011259904
143,-96460051148714553655689216
144,-96330985889882552976539648
144,-96202140488666580277788672
144,-96073514399153185313783808
144,-95945107077196125082484736
144,-95816917980409285719359488
144,-95688946568159724650364928
144,-95561192301560592485842944
144,-95433654643464467231277056
144,-95306333058456224641581056
144,-95179227012846200633163776
144,-95052335974663508314816512
144,-94925659413649269119254528
145,-94799196801249483157405696
145,-94672947610608827285635072
145,-94546911316563542639902720
145,-94421087395634837565997056
145,-94295475326022685686759424
145,-94170074587598472918073344
145,-94044884661898950154911744
145,-93919905032119653381439488
145,-93795135183108134802554880
145,-93670574601357726551375872
145,-93546222775000857720127488
146,-93422079193803041405927424
146,-93298143349155848144289792
146,-93174414734071288091901952
146,-93050892843174647021174784
146,-92927577172698954402365440
146,-92804467220478317614333952
146,-92681562485941548213075968
146,-92558862470106389495676928
146,-92436366675572747631853568
146,-92314074606517056666861568
146,-92191985768685887610159104
146,-92070099669389849581846528
147,-91948415817497628398059520
147,-91826933723429681558978560
147,-91705652899152654791344128
147,-91584572858172819338428416
147,-91463693115530643121373184
147,-91343013187794537266806784
147,-91222532593055014951321600
147,-91102250850918850245951488
147,-90982167482503116701564928
147,-90862282010429535171903488
147,-90742593958818443679498240
148,-90623102853283196778315776
148,-90503808220924444657319936
148,-90384709590324154545995776
148,-90265806491540199055556608
148,-90147098456100394764337152
148,-90028585016997262357692416
148,-89910265708681910594568192
148,-89792140067058762087661568
148,-89674207629480107284889600
148,-89556467934740074335305728
148,-89438920523069543847821312
149,-89321564936130496714244096
149,-89204400717010310392709120
149,-89087427410217085983260672
149,-88970644561673205776908288
149,-88854051718710643151339520
149,-88737648430065172955004928
149,-88621434245871440884662272
149,-88505408717657414387630080
149,-88389571398338867923779584
149,-88273921842214435163209728
149,-88158459604960283226800128
149,-88043184243624907185848320
150,-87928095316623684043538432
150,-87813192383733976472223744
150,-87698475006089858593587200
150,-87583942746176910478278656
150,-87469595167827287523459072
150,-87355431836214394693353472
150,-87241452317848024616271872
150,-87127656180569323882938368
150,-87014042993545484466913280
150,-86900612327265070800175104
150,-86787363753532882992234496
151,-86674296845464940308332544
151,-86561411177483791065153536
151,-86448706325313375849938944
151,-86336181865974148437639168
151,-86223837377778385686626304
151,-86111672440325171016892416
151,-85999686634495429427855360
151,-85887879542447718430408704
151,-85776250747612747668652032
151,-85664799834688946513641472
151,-85553526389637808318840832
151,-85442429999678839538581504
152,-85331510253285419379589120
152,-85220766740179405322059776
152,-85110199051327130210140160
152,-84999806778934282650910720
152,-84889589516441680766566400
152,-84779546858520375931699200
152,-84669678401067186007310336
152,-84559983741200211394953216
152,-84450462477254248011661312
152,-84341114208776131545399296
152,-84231938536520511207243776
153,-84122935062445211166703616
153,-84014103389706677886386176
153,-83905443122655788233916416
153,-83796953866833296816603136
153,-83688635228965420755058688
153,-83580486816959493176295424
153,-83472508239899565167214592
153,-83364699108042162346917888
153,-83257059032811869640327168
153,-83149587626797105030365184
153,-83042284503745669971836928
153,-82935149278560746481909760
154,-82828181567296361654648832
154,-82721380987153539370319872
154,-82614747156475558651494400
154,-82508279694744431789867008
154,-82401978222575870644584448
154,-82295842361716142726184960
154,-82189871735037089034534912
154,-82084065966532378847346688
154,-81978424681313455271051264
154,-81872947505605223093633024
154,-81767634066742217673801728
155,-81662483993164498952257536
155,-81557496914413408024002560
155,-81452672461127907826204672
155,-81348010265040185091686400
155,-81243509958972059756265472
155,-81139171176830878970019840
155,-81034993553605479828029440
155,-80930976725362152101117952
155,-80827120329241150722408448
155,-80723424003452503899242496
155,-80619887387272061743267840
156,-80516510121037888497909760
156,-80413291846146293988589568
156,-80310232205047779173597184
156,-80207330841243737609207808
156,-80104587399282143302516736
156,-80002001524754131917471744
156,-79899572864290066584829952
156,-79797301065555792690675712
156,-79695185777248858305200128
156,-79593226649095181288079360
156,-79491423331844668421832704
156,-79389775477268208934715392
157,-79288282738153620051591168
157,-79186944768301936142188544
